vehicle_id,license_plate,station,mileage,Booking Pickup Date,Booking Return Date,LINK TO WAVE,Next Booking Pickup Date,Next Booking Return Date,Return+3,Active until,Sticky Next Value,Sticky Update Flag
WMA36VUY5N9014751,WI RS 2903,Heidelberg,72875,5/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/5085/edit,27/12/2025,5/1/2026,26/12/2025,26/12/2025,,0
WMA36VUY7R9017432,FJ24HME,Edinburgh,52775,20/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/10936/edit,27/12/2025,31/12/2025,26/12/2025,26/12/2025,,0
WMA36VUY3R9017332,FJ24HJG,Edinburgh,66778,19/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/10925/edit,31/12/2025,6/1/2026,26/12/2025,26/12/2025,,0
WMA36VUY7R9017611,FJ24HJO,Edinburgh,67792,17/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/10928/edit,30/12/2025,3/1/2026,26/12/2025,26/12/2025,,0
ZFA25000002W88617,WI RS 4801,Leipzig,54662,17/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/7591/edit,22/6/2026,4/7/2026,26/12/2025,26/12/2025,,0
ZFA25000002V62901,WI RS 2858,Valencia,94639,16/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/5003/edit,25/9/2025,2/10/2025,26/12/2025,26/12/2025,,0
ZFA25000002V85885,WI RS 3774,Madrid,92231,18/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/5314/edit,26/12/2025,30/12/2025,26/12/2025,26/12/2025,,0
ZFA25000002V87273,WI RS 2982,Munich,68926,18/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/5586/edit,29/12/2025,5/1/2026,26/12/2025,26/12/2025,,0
W1V44781313938556,WI RS 1500,Barcelona,74275,17/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/4706/edit,27/12/2025,8/1/2026,26/12/2025,26/12/2025,,0
3C6MRVUG7RE108610,CRS5799,Seattle,45916,9/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/13964/edit,26/12/2025,3/1/2026,26/12/2025,26/12/2025,,0
WV2ZZZ7HZRH081239,WI RS 7157,Lübeck,50046,15/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/12521/edit,15/12/2025,23/12/2025,26/12/2025,26/12/2025,,0
WV2ZZZ7HZMH107406,M RC 3231,Leipzig,109227,22/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/2898/edit,11/10/2025,18/10/2025,26/12/2025,26/12/2025,,0
WV2ZZZ7HZNH038094,WI RS 1279,Dresden,106135,12/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/6061/edit,17/4/2026,20/4/2026,26/12/2025,26/12/2025,,0
WV2ZZZ7HZPH076197,WI RS 4276,Stuttgart,64811,19/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/8336/edit,29/12/2025,2/1/2026,26/12/2025,26/12/2025,,0
WV2ZZZ7HZNH035534,WI RS 1464,Barcelona,116453,16/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/5983/edit,31/12/2025,5/1/2026,26/12/2025,26/12/2025,,0
WV2ZZZ7HZPH058632,WI RS 3796,Ulm,95244,22/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/8028/edit,24/12/2025,27/12/2025,26/12/2025,26/12/2025,,0
WV2ZZZ7HZPH066219,WI RS 4087,Bochum,74321,15/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/8095/edit,22/5/2026,26/5/2026,26/12/2025,26/12/2025,,0
