vehicle_id,license_plate,station,mileage,Booking Pickup Date,Booking Return Date,LINK TO WAVE,Next Booking Pickup Date,Next Booking Return Date,Return+3,Active until,Sticky Next Value,Sticky Update Flag
WMA36VUY9R9017299,FJ24HNX,Edinburgh,65342,3/1/2026,9/1/2026,https://backoffice.roadsurfer.com/vehicles/10932/edit,9/5/2026,22/5/2026,12/1/2026,12/1/2026,,0
WMA36VUY9P9022807,WI RS 5009,Frankfurt,72174,6/1/2026,9/1/2026,https://backoffice.roadsurfer.com/vehicles/10354/edit,30/1/2026,2/2/2026,12/1/2026,12/1/2026,,0
ZFA25000002W88224,WI RS 4900,Toulouse,47281,7/1/2026,9/1/2026,https://backoffice.roadsurfer.com/vehicles/7578/edit,18/4/2026,28/4/2026,12/1/2026,12/1/2026,,0
ZFA25000002Y53634,BO-52-PV,Porto,44631,2/1/2026,9/1/2026,https://backoffice.roadsurfer.com/vehicles/11637/edit,2/2/2026,7/2/2026,12/1/2026,12/1/2026,,0
ZFA25000002Y84424,DS 29991,Oslo,58785,27/12/2025,9/1/2026,https://backoffice.roadsurfer.com/vehicles/11703/edit,8/11/2025,22/11/2025,12/1/2026,12/1/2026,,0
ZFA25000002V74800,FJ23BWD,Edinburgh,69645,3/1/2026,9/1/2026,https://backoffice.roadsurfer.com/vehicles/6733/edit,21/1/2026,30/1/2026,12/1/2026,12/1/2026,,0
ZFA25000002Y78129,FH24GZW,Edinburgh,40726,31/12/2025,9/1/2026,https://backoffice.roadsurfer.com/vehicles/10904/edit,16/6/2026,25/6/2026,12/1/2026,12/1/2026,,0
W1V44781313953014,WI RS 1504,Marburg,111556,5/1/2026,9/1/2026,https://backoffice.roadsurfer.com/vehicles/4824/edit,22/1/2026,26/1/2026,12/1/2026,12/1/2026,,0
W1V44781313951245,WI RS 1568,Madrid,117703,24/12/2025,9/1/2026,https://backoffice.roadsurfer.com/vehicles/4724/edit,16/8/2025,24/8/2025,12/1/2026,12/1/2026,,0
3C6MRVUG4RE110850,CRS5690,Los Angeles,43476,20/12/2025,9/1/2026,https://backoffice.roadsurfer.com/vehicles/13963/edit,21/1/2026,24/1/2026,12/1/2026,12/1/2026,,0
3C6MRVUG5RE104670,CRS5798,Las Vegas,57128,2/1/2026,9/1/2026,https://backoffice.roadsurfer.com/vehicles/13957/edit,31/1/2026,28/2/2026,12/1/2026,12/1/2026,,0
WV2ZZZ7HZRH081126,WI RS 7125,Kiel,61698,3/1/2026,9/1/2026,https://backoffice.roadsurfer.com/vehicles/12524/edit,16/10/2025,30/10/2025,12/1/2026,12/1/2026,,0
WV2ZZZ7HZMH021757,M RC 1388,Rotterdam,127270,7/1/2026,9/1/2026,https://backoffice.roadsurfer.com/vehicles/2638/edit,27/12/2025,3/1/2026,12/1/2026,12/1/2026,,0
WV2ZZZ7HZNH035417,WI RS 1445,Brussels,119209,2/1/2026,9/1/2026,https://backoffice.roadsurfer.com/vehicles/5981/edit,20/4/2026,2/5/2026,12/1/2026,12/1/2026,,0
WV2ZZZ7HZNH084197,WI RS 2387,Paris,104814,2/1/2026,9/1/2026,https://backoffice.roadsurfer.com/vehicles/7636/edit,10/11/2025,13/11/2025,12/1/2026,12/1/2026,,0
WV2ZZZ7HZNH051108,WI RS 1605,Bergamo,83084,27/12/2025,9/1/2026,https://backoffice.roadsurfer.com/vehicles/6510/edit,8/9/2025,11/9/2025,12/1/2026,12/1/2026,,0
WV2ZZZ7HZNH040994,WI RS 1098,Toulouse,103187,5/1/2026,9/1/2026,https://backoffice.roadsurfer.com/vehicles/6068/edit,9/1/2026,13/1/2026,12/1/2026,12/1/2026,,0
WV2ZZZ7HZPH082293,WI RS 4582,Nantes,62783,3/1/2026,9/1/2026,https://backoffice.roadsurfer.com/vehicles/8252/edit,31/10/2025,3/11/2025,12/1/2026,12/1/2026,,0
WV2ZZZ7HZNH045777,WI RS 1680,Marburg,97290,7/1/2026,9/1/2026,https://backoffice.roadsurfer.com/vehicles/6221/edit,7/1/2026,9/1/2026,12/1/2026,12/1/2026,,0
WV2ZZZ7HZPH029024,GK23NWT,Edinburgh,99300,8/1/2026,9/1/2026,https://backoffice.roadsurfer.com/vehicles/8496/edit,18/4/2026,25/4/2026,12/1/2026,12/1/2026,,0
WV2ZZZ7HZPH029083,GK23NYM,Edinburgh,91538,8/1/2026,9/1/2026,https://backoffice.roadsurfer.com/vehicles/8497/edit,29/10/2025,3/11/2025,12/1/2026,12/1/2026,,0
WV2ZZZ7HZPH059288,WI RS 3804,Malaga,82204,3/1/2026,9/1/2026,https://backoffice.roadsurfer.com/vehicles/7992/edit,3/1/2026,9/1/2026,12/1/2026,12/1/2026,,0
WV2ZZZ7HZPH077318,WI RS 4380,Leipzig,80163,8/1/2026,9/1/2026,https://backoffice.roadsurfer.com/vehicles/8325/edit,20/10/2025,24/10/2025,12/1/2026,12/1/2026,,0
WV2ZZZ7HZNH045386,WI RS 1679,Berlin-Schönefeld,83539,7/1/2026,9/1/2026,https://backoffice.roadsurfer.com/vehicles/6216/edit,25/3/2026,31/3/2026,12/1/2026,12/1/2026,,0
