booking_number,TCU_Data - vin → vin,vehicle_category,station_pickup,station_return,return_datetime,TCU_Data - vin → gnss_latitude,TCU_Data - vin → gnss_longitude,TCU_Data - vin → gmx_odometer,TCU_Data - vin → tcu_updated_datetime,TCU_Data - vin → tcu_id,TCU_Data - vin → gnss_longitude_updated_datetime,TCU_Data - vin → gnss_latitude_updated_datetime,car_id
3261038905,WV2ZZZ7HZRH077753,BEACH HOSTEL,freiburg-basel (germany),freiburg-basel (germany),"Feb 4, 2026, 10:00 AM",48.09204000° N,7.55508000° E,"22,769","Feb 4, 2026, 1:17 AM","21,133","Feb 4, 2026, 1:17 AM","Feb 4, 2026, 1:17 AM",13336
3847382917,WV2ZZZ7HZPH054517,BEACH HOSTEL,constance,venice,"Feb 4, 2026, 11:00 AM",45.45437000° N,12.17841000° E,"84,725","Feb 3, 2026, 7:22 PM","7,207","Feb 3, 2026, 7:22 PM","Feb 3, 2026, 7:22 PM",8529
3755535202,WF0LXXTA1LSM02248,CAMPER CABIN,frankfurt,frankfurt,"Feb 4, 2026, 10:00 AM",50.09615000° N,8.77296000° E,"17,998","Feb 4, 2026, 12:34 AM","22,134","Feb 4, 2026, 12:34 AM","Feb 4, 2026, 12:34 AM",15278
3293999546,WF01XXTTG1PC42034,CAMPER CABIN DELUXE,stuttgart,paris,"Feb 4, 2026, 10:00 AM",48.82963000° N,9.13261000° E,"84,882","Feb 3, 2026, 11:44 PM","7,536","Feb 3, 2026, 11:44 PM","Feb 3, 2026, 11:44 PM",4647
3190130782,ZFA25000002V92466,CAMPER CASTLE,munich,florence,"Feb 4, 2026, 10:00 AM",43.98870000° N,11.24120000° E,"87,339","Feb 3, 2026, 1:49 PM","4,633","Feb 3, 2026, 1:49 PM","Feb 3, 2026, 1:49 PM",5629
3679557271,ZFA250004SMB05270,CAMPER CASTLE,turin,turin,"Feb 4, 2026, 11:00 AM",44.89474000° N,7.33148000° E,"22,856","Feb 3, 2026, 7:00 PM","20,890","Feb 3, 2026, 7:00 PM","Feb 3, 2026, 7:00 PM",15445
3271823737,3C6MRVJG3PE606451,COUPLE CONDO,las vegas,las vegas,"Feb 4, 2026, 10:00 AM",35.99602000° N,114.93382000° W,"116,286","Feb 4, 2026, 1:35 AM","15,141","Feb 4, 2026, 1:35 AM","Feb 4, 2026, 1:35 AM",13612
3559930250,3C6MRVUG9PE510304,COUPLE CONDO,phoenix,los angeles,"Feb 4, 2026, 10:00 AM",33.44794000° N,112.02860000° W,"118,760","Feb 4, 2026, 1:12 AM","17,514","Feb 4, 2026, 1:11 AM","Feb 4, 2026, 1:11 AM",10368
3890541722,3C6MRVJG4PE607141,COUPLE CONDO,miami,miami,"Feb 4, 2026, 1:00 PM",24.96471000° N,80.56241000° W,"89,554","Feb 4, 2026, 12:15 AM","15,138","Feb 4, 2026, 12:15 AM","Feb 4, 2026, 12:15 AM",13614
3693890860,ZFA25000XSMB30495,COUPLE COTTAGE,barcelona,barcelona,"Feb 4, 2026, 1:00 PM",41.95478000° N,0.86676000° E,"40,416","Feb 3, 2026, 8:45 PM","3,645","Feb 3, 2026, 8:45 PM","Feb 3, 2026, 8:45 PM",15888
3878952891,WF0EXXTTREPM31623,COUPLE COTTAGE,lisbon,lisbon,"Feb 4, 2026, 10:00 AM",38.71952000° N,9.14489000° W,"44,454","Feb 3, 2026, 7:44 PM","23,211","Feb 3, 2026, 7:44 PM","Feb 3, 2026, 7:44 PM",10717
3203719524,VF3YLCPFCNG028122,COUPLE COTTAGE,bilbao,bilbao,"Feb 4, 2026, 10:00 AM",42.54405000° N,2.95992000° W,"53,623","Feb 3, 2026, 7:28 PM","7,579","Feb 3, 2026, 7:28 PM","Feb 3, 2026, 7:28 PM",5382
3548553361,ZFA250007SMA99867,COUPLE COTTAGE,cologne-bonn,cologne-bonn,"Feb 4, 2026, 4:00 PM",49.96308000° N,8.35200000° E,"28,761","Feb 4, 2026, 1:27 AM","19,726","Feb 4, 2026, 1:27 AM","Feb 4, 2026, 1:27 AM",15190
3196813319,WV3ZZZSZ5P9028795,COZY COTTAGE,cologne-dusseldorf,cologne-dusseldorf,"Feb 4, 2026, 4:00 PM",51.40267000° N,6.84839000° E,"83,640","Feb 3, 2026, 7:39 PM","14,266","Feb 3, 2026, 7:40 PM","Feb 3, 2026, 7:40 PM",7827
3622990467,ZFA250009SMB07712,COZY COTTAGE,cologne-dusseldorf,cologne-dusseldorf,"Feb 4, 2026, 4:00 PM",48.71177000° N,8.99826000° E,"19,803","Feb 3, 2026, 6:53 PM","5,816","Feb 3, 2026, 6:53 PM","Feb 3, 2026, 6:53 PM",15205
3814771952,ZFA250008SMB00959,COZY COTTAGE,nuremberg,nuremberg,"Feb 4, 2026, 1:00 PM",49.42679000° N,11.05658000° E,"17,123","Jan 29, 2026, 11:09 PM","3,204","Jan 29, 2026, 11:09 PM","Jan 29, 2026, 11:09 PM",15159
3859548224,WV1ZZZSY8R9048123,FAMILY FINCA,malaga,duisburg,"Feb 4, 2026, 11:00 AM",50.14930000° N,4.39226000° E,"62,003","Feb 4, 2026, 1:35 AM","20,581","Feb 4, 2026, 1:35 AM","Feb 4, 2026, 1:35 AM",11888
3163152997,WV1ZZZSY2P9035946,FAMILY FINCA,sevilla,sevilla,"Feb 4, 2026, 12:00 PM",37.20651000° N,7.02454000° W,"95,412","Feb 3, 2026, 4:55 PM","18,153","Feb 3, 2026, 4:55 PM","Feb 3, 2026, 4:55 PM",8758
3627264756,WMA36VUY7P9023499,FAMILY FINCA,bremen,bremen,"Feb 4, 2026, 12:00 PM",53.04848000° N,8.84415000° E,"80,405","Jan 27, 2026, 1:27 PM","10,671","Jan 27, 2026, 1:27 PM","Jan 27, 2026, 1:27 PM",10357
3591194061,WV1ZZZSY1R9048352,FAMILY FINCA,würzburg,barcelona,"Feb 4, 2026, 11:00 AM",41.42515000° N,2.13816000° E,"69,023","Feb 3, 2026, 8:12 PM","20,917","Feb 3, 2026, 8:12 PM","Feb 3, 2026, 8:12 PM",13309
3186103119,1FDWE3FN6SDD32886,FAMILY FREEDOM,los angeles,los angeles,"Feb 4, 2026, 10:00 AM",35.12345000° N,120.57841000° W,"33,764","Feb 3, 2026, 7:06 PM","15,055","Feb 3, 2026, 7:06 PM","Feb 3, 2026, 7:06 PM",13852
3149765422,1FDWE3FN0SDD38991,FAMILY FREEDOM,los angeles,los angeles,"Feb 4, 2026, 10:00 AM",33.40487000° N,117.59998000° W,"58,094","Feb 3, 2026, 8:28 PM","14,986","Feb 3, 2026, 8:28 PM","Feb 3, 2026, 8:28 PM",13800
3583562003,1FDWE3FN3SDD28438,FAMILY FREEDOM,las vegas,las vegas,"Feb 4, 2026, 10:00 AM",37.07769000° N,113.52266000° W,"50,605","Feb 4, 2026, 12:28 AM","16,507","Feb 4, 2026, 12:28 AM","Feb 4, 2026, 12:28 AM",13846
3488503347,3C6MRVJG4SE517982,LIBERTY LODGE,seattle,seattle,"Feb 4, 2026, 3:00 PM",37.17213000° N,118.22250000° W,"63,106","Jan 28, 2026, 10:14 PM","16,680","Jan 28, 2026, 10:14 PM","Jan 28, 2026, 10:14 PM",15763
3230978144,ZFA250001SMB11964,ROAD HOUSE,lyon,lyon,"Feb 4, 2026, 10:00 AM",51.32247000° N,5.08632000° E,"21,126","Feb 3, 2026, 5:17 PM","21,988","Feb 3, 2026, 5:17 PM","Feb 3, 2026, 5:17 PM",15105
3444758362,ZFA25000002Z21259,ROAD HOUSE,barcelona,barcelona,"Feb 4, 2026, 3:00 PM",42.50571000° N,0.35633000° W,"28,768","Feb 3, 2026, 4:41 PM","14,571","Feb 3, 2026, 4:41 PM","Feb 3, 2026, 4:41 PM",11790
